hpo_id,alias_en,synonym_type
HP:0000003,Multicystic dysplastic kidney,unspecified
HP:0000003,Multicystic kidneys,unspecified
HP:0000003,Multicystic renal dysplasia,unspecified
HP:0000005,Inheritance,unspecified
HP:0000006,Autosomal dominant,unspecified
HP:0000007,Autosomal recessive,unspecified
HP:0000008,Abnormality of female internal genitalia,unspecified
HP:0000009,Poor bladder function,unspecified
HP:0000010,Frequent urinary tract infections,layperson
HP:0000010,Recurrent UTIs,abbreviation
HP:0000010,Repeated bladder infections,layperson
HP:0000010,Repeated urinary tract infections,layperson
HP:0000010,Urinary tract infections,layperson
HP:0000010,"Urinary tract infections, recurrent",layperson
HP:0000011,Lack of bladder control due to nervous system injury,layperson
HP:0000012,Overactive bladder,layperson
HP:0000012,Urgent micturition,unspecified
HP:0000013,Hypoplastic uterus,unspecified
HP:0000013,Rudimentary uterus,unspecified
HP:0000013,Small uterus,layperson
HP:0000013,Underdeveloped uterus,layperson
HP:0000015,Bladder diverticula,unspecified
HP:0000016,Increased post-void residual urine volume,unspecified
HP:0000017,Nycturia,unspecified
HP:0000019,Difficulty with flow,layperson
HP:0000020,Bladder incontinence,unspecified
HP:0000020,Loss of bladder control,layperson
HP:0000024,Inflammation of the prostate,layperson
HP:0000026,Decreased function of male gonad,layperson
HP:0000027,Absent sperm in semen,layperson
HP:0000028,Cryptorchism,unspecified
HP:0000028,Undescended testes,layperson
HP:0000028,Undescended testis,layperson
HP:0000029,Testicular degeneration,layperson
HP:0000032,Abnormality of male external genitalia,unspecified
HP:0000033,Ambiguous genitalia in males,layperson
HP:0000034,Testicular hydrocele,unspecified
HP:0000035,Abnormality of the testis,layperson
HP:0000035,Anomaly of the testes,unspecified
HP:0000036,Abnormality of the penis,layperson
HP:0000040,Enlarged penis,layperson
HP:0000044,Hypogonadotrophic hypogonadism,unspecified
HP:0000044,Low gonadotropins (secondary hypogonadism),unspecified
HP:0000045,Abnormality of the scrotum,unspecified
HP:0000046,Hypoplastic scrotum,unspecified
HP:0000046,Scrotal hypoplasia,unspecified
HP:0000046,Smaller than typical growth of scrotum,layperson
HP:0000046,Underdeveloped scrotum,layperson
HP:0000047,Hypospadia,unspecified
HP:0000048,Cleft of scrotum,layperson
HP:0000048,Scrotal cleft,unspecified
HP:0000049,Overriding scrotum,unspecified
HP:0000049,Scrotum surrounds penis,layperson
HP:0000050,Hypoplastic male genitalia,unspecified
HP:0000050,Small male external genitalia,layperson
HP:0000050,Underdeveloped male genitalia,layperson
HP:0000053,Large testicles,unspecified
HP:0000053,Large testis,layperson
HP:0000054,Short penis,layperson
HP:0000054,Small penis,layperson
HP:0000055,Abnormal female external genitalia,layperson
HP:0000055,Abnormality of female external genitalia,unspecified
HP:0000056,Abnormality of the clit,layperson
HP:0000056,Abnormality of the clitoris,unspecified
HP:0000058,Abnormality of the labia,unspecified
HP:0000059,Hypoplasia of labia majora,unspecified
HP:0000059,Small labia majora,layperson
HP:0000059,Underdeveloped vaginal lips,layperson
HP:0000060,Hypoplastic clitoris,unspecified
HP:0000060,Small clitoris,layperson
HP:0000060,Underdeveloped clit,layperson
HP:0000061,Atypical appearance of female genitals,layperson
HP:0000062,Ambiguous external genitalia,layperson
HP:0000062,Ambiguous external genitalia at birth,layperson
HP:0000062,Intersex genitalia,layperson
HP:0000063,Fused inner lips,layperson
HP:0000064,Underdeveloped inner lips,layperson
