disease_id,disease_name,tier,has_mendelian_gene,genes,pathogenic_variants,pathogenic_snv,snv_at_panel_position,allele_match,strand_flip_match,best_review_stars_matched,matched_variation_ids
OMIM:100100,Prune belly syndrome,snv_fora_do_painel,True,CHRM3,7,4,0,0,0,,
OMIM:100300,Adams-Oliver syndrome 1,snv_fora_do_painel,True,ARHGAP31,4,3,0,0,0,,
OMIM:100800,Achondroplasia,snv_fora_do_painel,True,FGFR3,18,18,0,0,0,,
OMIM:101000,"Neurofibromatosis, type II",snv_fora_do_painel,True,NF2,219,124,0,0,0,,
OMIM:101200,Apert syndrome,snv_fora_do_painel,True,FGFR2,10,8,0,0,0,,
OMIM:101400,Saethre-Chotzen syndrome,snv_fora_do_painel,True,FGFR2;TWIST1,78,46,0,0,0,,
OMIM:101600,Pfeiffer syndrome,snv_fora_do_painel,True,FGFR1;FGFR2,98,72,0,0,0,,
OMIM:101800,"Acrodysostosis 1, with or without hormone resistance",snv_fora_do_painel,True,PRKAR1A,9,8,0,0,0,,
OMIM:101900,Acrokeratosis verruciformis,snv_fora_do_painel,True,ATP2A2,3,2,0,0,0,,
OMIM:102200,"Pituitary adenoma, growth hormone-secreting, 1",snv_fora_do_painel,True,AIP,19,14,0,0,0,,
OMIM:102370,Acromicric dysplasia,snv_fora_do_painel,True,FBN1,16,13,0,0,0,,
OMIM:102500,Hajdu-Cheney syndrome,snv_fora_do_painel,True,NOTCH2,63,29,0,0,0,,
OMIM:102530,Spermatogenic failure 6,sem_variante_patogenica,True,SPATA16,0,0,0,0,0,,
OMIM:102700,"Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency",snv_fora_do_painel,True,ADA,131,87,0,0,0,,
OMIM:102900,"Adenosine triphosphate, elevated, of erythrocytes",snv_fora_do_painel,True,PKLR,6,5,0,0,0,,
OMIM:103050,Adenylosuccinase deficiency,snv_fora_do_painel,True,ADSL,66,57,0,0,0,,
OMIM:103285,Adult syndrome,snv_fora_do_painel,True,TP63,5,5,0,0,0,,
OMIM:103500,Tietz albinism-deafness syndrome,snv_fora_do_painel,True,MITF,52,29,0,0,0,,
OMIM:103580,"Pseudohypoparathyroidism, type IA",snv_fora_do_painel,True,GNAS,52,38,0,0,0,,
OMIM:103780,Alcohol dependence,snv_fora_do_painel,False,ADH1B;ADH1C;GABRA2;TAS2R16,1,1,0,0,0,,
OMIM:103900,"Aldosteronism, glucocorticoid-remediable",snv_fora_do_painel,True,CYP11B1,45,36,0,0,0,,
OMIM:104100,Palmoplantar keratoderma with congenital alopecia,snv_fora_do_painel,True,GJA1,1,1,0,0,0,,
OMIM:104200,"Alport syndrome 3, autosomal dominant",snv_fora_do_painel,True,COL4A3,449,344,0,0,0,,
OMIM:104290,Alternating hemiplegia of childhood 1,snv_fora_do_painel,True,ATP1A2,13,11,0,0,0,,
OMIM:104300,Alzheimer disease,snv_fora_do_painel,True,APP;MPO;PLAU,18,17,0,0,0,,
OMIM:104310,Alzheimer disease 2,sem_variante_patogenica,True,APOE,0,0,0,0,0,,
OMIM:104500,"Amelogenesis imperfecta, type IB",snv_fora_do_painel,True,ENAM,10,5,0,0,0,,
OMIM:104510,"Amelogenesis imperfecta, type IV",snv_fora_do_painel,True,DLX3,5,2,0,0,0,,
OMIM:104530,"Amelogenesis imperfecta, type IA",snv_fora_do_painel,True,LAMB3,60,31,0,0,0,,
