method,case_id,stratum,query_pt,target_hpo_id,target_rank,latency_ms,candidate_count,invalid_id_count,invalid_hpo_ids,top_hpo_ids
exact,OFF-01,official_label,Microcefalia,HP:0000252,1,0.957,1,0,[],"[""HP:0000252""]"
exact,OFF-02,official_label,Macrocefalia,HP:0000256,1,0.808,1,0,[],"[""HP:0000256""]"
exact,OFF-03,official_label,Estrabismo,HP:0000486,1,0.881,1,0,[],"[""HP:0000486""]"
exact,OFF-04,official_label,Catarata,HP:0000518,1,0.556,1,0,[],"[""HP:0000518""]"
exact,OFF-05,official_label,Cegueira,HP:0000618,1,0.47,1,0,[],"[""HP:0000618""]"
exact,OFF-06,official_label,Hipertensão,HP:0000822,1,0.494,1,0,[],"[""HP:0000822""]"
exact,OFF-07,official_label,Escoliose torácica,HP:0002943,1,0.446,1,0,[],"[""HP:0002943""]"
exact,OFF-08,official_label,Fraqueza muscular generalizada,HP:0003324,1,0.433,1,0,[],"[""HP:0003324""]"
exact,OFF-09,official_label,Dor lombar,HP:0003419,1,0.441,1,0,[],"[""HP:0003419""]"
exact,OFF-10,official_label,Baixa estatura,HP:0004322,1,0.422,1,0,[],"[""HP:0004322""]"
exact,ORT-01,orthographic_variation,micro cefalia,HP:0000252,,0.408,0,0,[],[]
exact,ORT-02,orthographic_variation,macro-cefalia,HP:0000256,,0.409,0,0,[],[]
exact,ORT-03,orthographic_variation,estrabísmo,HP:0000486,1,0.432,1,0,[],"[""HP:0000486""]"
exact,ORT-04,orthographic_variation,catarata.,HP:0000518,1,0.407,1,0,[],"[""HP:0000518""]"
exact,ORT-05,orthographic_variation,CEGUEIRA,HP:0000618,1,0.404,1,0,[],"[""HP:0000618""]"
exact,ORT-06,orthographic_variation,hipertensao,HP:0000822,1,0.502,1,0,[],"[""HP:0000822""]"
exact,ORT-07,orthographic_variation,escoliose toracica,HP:0002943,1,0.396,1,0,[],"[""HP:0002943""]"
exact,ORT-08,orthographic_variation,fraquesa muscular generalizada,HP:0003324,,0.372,0,0,[],[]
exact,ORT-09,orthographic_variation,dor-lombar,HP:0003419,1,0.392,1,0,[],"[""HP:0003419""]"
exact,ORT-10,orthographic_variation,baixa-estatura,HP:0004322,1,0.422,1,0,[],"[""HP:0004322""]"
exact,PAR-01,clinical_paraphrase,cabeça menor que o esperado para a idade,HP:0000252,,0.431,0,0,[],[]
exact,PAR-02,clinical_paraphrase,cabeça aumentada para a idade,HP:0000256,,0.413,0,0,[],[]
exact,PAR-03,clinical_paraphrase,desvio persistente dos olhos,HP:0000486,,0.426,0,0,[],[]
exact,PAR-04,clinical_paraphrase,opacidade do cristalino,HP:0000518,,0.403,0,0,[],[]
exact,PAR-05,clinical_paraphrase,ausência de visão,HP:0000618,,0.399,0,0,[],[]
exact,PAR-06,clinical_paraphrase,pressão arterial elevada,HP:0000822,,0.349,0,0,[],[]
exact,PAR-07,clinical_paraphrase,curvatura lateral da coluna na região torácica,HP:0002943,,0.378,0,0,[],[]
exact,PAR-08,clinical_paraphrase,fraqueza em todos os grupos musculares,HP:0003324,,0.412,0,0,[],[]
exact,PAR-09,clinical_paraphrase,dor na região inferior das costas,HP:0003419,,0.424,0,0,[],[]
exact,PAR-10,clinical_paraphrase,altura abaixo do esperado para a idade,HP:0004322,,0.443,0,0,[],[]
fuzzy,OFF-01,official_label,Microcefalia,HP:0000252,1,80.534,20,0,[],"[""HP:0000252"", ""HP:0000256"", ""HP:0000253"", ""HP:0000238"", ""HP:0000568""]"
fuzzy,OFF-02,official_label,Macrocefalia,HP:0000256,1,78.875,20,0,[],"[""HP:0000256"", ""HP:0000252"", ""HP:0004481"", ""HP:0004482"", ""HP:0004488""]"
fuzzy,OFF-03,official_label,Estrabismo,HP:0000486,1,77.439,20,0,[],"[""HP:0000486"", ""HP:0020043"", ""HP:0020044"", ""HP:0020049"", ""HP:0025068""]"
fuzzy,OFF-04,official_label,Catarata,HP:0000518,1,72.128,20,0,[],"[""HP:0000518"", ""HP:0000519"", ""HP:0000523"", ""HP:0007648"", ""HP:0007657""]"
fuzzy,OFF-05,official_label,Cegueira,HP:0000618,1,74.814,20,0,[],"[""HP:0000618"", ""HP:0007642"", ""HP:0007675"", ""HP:0007830"", ""HP:0007875""]"
fuzzy,OFF-06,official_label,Hipertensão,HP:0000822,1,76.707,20,0,[],"[""HP:0000822"", ""HP:0007906"", ""HP:0008071"", ""HP:0030950"", ""HP:0032547""]"
fuzzy,OFF-07,official_label,Escoliose torácica,HP:0002943,1,248.2,20,0,[],"[""HP:0002943"", ""HP:0006589"", ""HP:0012727"", ""HP:0012728"", ""HP:0012729""]"
fuzzy,OFF-08,official_label,Fraqueza muscular generalizada,HP:0003324,1,79.269,20,0,[],"[""HP:0003324"", ""HP:0012837"", ""HP:0003325"", ""HP:0003392"", ""HP:0003394""]"
fuzzy,OFF-09,official_label,Dor lombar,HP:0003419,1,79.787,20,0,[],"[""HP:0003419"", ""HP:0012531"", ""HP:0002938"", ""HP:0004589"", ""HP:0004610""]"
fuzzy,OFF-10,official_label,Baixa estatura,HP:0004322,1,80.664,20,0,[],"[""HP:0004322"", ""HP:0003502"", ""HP:0003498"", ""HP:0003508"", ""HP:0003510""]"
fuzzy,ORT-01,orthographic_variation,micro cefalia,HP:0000252,1,85.039,20,0,[],"[""HP:0000252"", ""HP:0000256"", ""HP:0000253"", ""HP:0032561"", ""HP:0000238""]"
fuzzy,ORT-02,orthographic_variation,macro-cefalia,HP:0000256,1,80.703,20,0,[],"[""HP:0000256"", ""HP:0000252"", ""HP:0004481"", ""HP:0004482"", ""HP:0004488""]"
fuzzy,ORT-03,orthographic_variation,estrabísmo,HP:0000486,1,103.17,20,0,[],"[""HP:0000486"", ""HP:0020043"", ""HP:0020044"", ""HP:0020049"", ""HP:0025068""]"
fuzzy,ORT-04,orthographic_variation,catarata.,HP:0000518,1,73.348,20,0,[],"[""HP:0000518"", ""HP:0000519"", ""HP:0000523"", ""HP:0007648"", ""HP:0007657""]"
fuzzy,ORT-05,orthographic_variation,CEGUEIRA,HP:0000618,1,77.684,20,0,[],"[""HP:0000618"", ""HP:0007642"", ""HP:0007675"", ""HP:0007830"", ""HP:0007875""]"
fuzzy,ORT-06,orthographic_variation,hipertensao,HP:0000822,1,80.487,20,0,[],"[""HP:0000822"", ""HP:0007906"", ""HP:0008071"", ""HP:0030950"", ""HP:0032547""]"
fuzzy,ORT-07,orthographic_variation,escoliose toracica,HP:0002943,1,82.171,20,0,[],"[""HP:0002943"", ""HP:0006589"", ""HP:0012727"", ""HP:0012728"", ""HP:0012729""]"
fuzzy,ORT-08,orthographic_variation,fraquesa muscular generalizada,HP:0003324,1,99.438,20,0,[],"[""HP:0003324"", ""HP:0012837"", ""HP:0003325"", ""HP:0003394"", ""HP:0003397""]"
