method,stratum,n,accuracy_at_1,accuracy_at_5,mrr_at_20,latency_mean_ms,invalid_id_rate
bm25,ALL,30,0.6,0.6333,0.6184,2.927,0.0
bm25,clinical_paraphrase,10,0.0,0.1,0.0553,4.827,0.0
bm25,official_label,10,1.0,1.0,1.0,1.93,0.0
bm25,orthographic_variation,10,0.8,0.8,0.8,2.023,0.0
exact,ALL,30,0.5667,0.5667,0.5667,0.213,0.0
exact,clinical_paraphrase,10,0.0,0.0,0.0,0.189,0.0
exact,official_label,10,1.0,1.0,1.0,0.255,0.0
exact,orthographic_variation,10,0.7,0.7,0.7,0.194,0.0
fuzzy,ALL,30,0.6667,0.6667,0.669,46.982,0.0
fuzzy,clinical_paraphrase,10,0.0,0.0,0.0071,50.425,0.0
fuzzy,official_label,10,1.0,1.0,1.0,44.63,0.0
fuzzy,orthographic_variation,10,1.0,1.0,1.0,45.89,0.0
