method,case_id,stratum,query_pt,target_hpo_id,target_rank,latency_ms,candidate_count,invalid_id_count,invalid_hpo_ids,top_hpo_ids
semantic,OFF-01,official_label,Microcefalia,HP:0000252,1,38.179,20,0,[],"[""HP:0000252"", ""HP:0000253"", ""HP:0030260"", ""HP:0000482"", ""HP:0000568""]"
semantic,OFF-02,official_label,Macrocefalia,HP:0000256,1,42.106,20,0,[],"[""HP:0000256"", ""HP:0000158"", ""HP:0004099"", ""HP:0000400"", ""HP:0032566""]"
semantic,OFF-03,official_label,Estrabismo,HP:0000486,1,43.593,20,0,[],"[""HP:0000486"", ""HP:0025069"", ""HP:0020049"", ""HP:0025068"", ""HP:0000316""]"
semantic,OFF-04,official_label,Catarata,HP:0000518,1,40.866,20,0,[],"[""HP:0000518"", ""HP:0010695"", ""HP:0007819"", ""HP:0007976"", ""HP:0007648""]"
semantic,OFF-05,official_label,Cegueira,HP:0000618,1,40.395,20,0,[],"[""HP:0000618"", ""HP:0007875"", ""HP:0007675"", ""HP:0000504"", ""HP:0007830""]"
semantic,OFF-06,official_label,Hipertensão,HP:0000822,1,41.289,20,0,[],"[""HP:0000822"", ""HP:0003297"", ""HP:0003781"", ""HP:0002883"", ""HP:0003296""]"
semantic,OFF-07,official_label,Escoliose torácica,HP:0002943,1,194.399,20,0,[],"[""HP:0002943"", ""HP:0020083"", ""HP:0002942"", ""HP:0010561"", ""HP:0030793""]"
semantic,OFF-08,official_label,Fraqueza muscular generalizada,HP:0003324,1,42.348,20,0,[],"[""HP:0003324"", ""HP:0003701"", ""HP:0003427"", ""HP:0003323"", ""HP:0009063""]"
semantic,OFF-09,official_label,Dor lombar,HP:0003419,1,40.484,20,0,[],"[""HP:0003419"", ""HP:0004626"", ""HP:0002938"", ""HP:0004619"", ""HP:0004283""]"
semantic,OFF-10,official_label,Baixa estatura,HP:0004322,1,38.885,20,0,[],"[""HP:0004322"", ""HP:0003502"", ""HP:0003510"", ""HP:0003882"", ""HP:0030917""]"
semantic,ORT-01,orthographic_variation,micro cefalia,HP:0000252,2,41.653,20,0,[],"[""HP:0000253"", ""HP:0000252"", ""HP:0033989"", ""HP:0004734"", ""HP:0030260""]"
